#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2018-11-23 19:01:28.462
#Start: 9.996 Hz
#Stop: 5e+06 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.43395 V
#Offset: -2.27108e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
9.9960000000000164,0.015973766152591256,-36.52287745196584,157.30778832101061
10.262363113072064,0.015119238705510412,-36.080500524333729,157.41941516561542
10.535823996052622,0.016082215264118363,-35.572649010131812,155.81898272810375
10.816571783004179,0.017128049845031277,-34.97572757903081,155.87014453395946
11.104800647838941,0.012178451213574564,-34.639402761393711,154.40437625582948
11.40070993861554,0.015098467273917598,-34.165156450944671,153.73178098129259
11.70450431541437,0.014324949080131471,-33.602584175791648,154.76712649546624
12.016393891886858,0.016327924863875593,-33.342952771018119,154.10494718334161
12.336594380576653,0.01398405918034539,-32.922386361375075,152.2428224649247
12.665327242113021,0.010293420236743133,-32.507466934042867,152.82618127140262
13.002819838380073,0.015521985238002611,-32.03638866553905,151.73994158508862
13.349305589767219,0.0140878950051074,-31.503564698146679,151.0398653937722
13.705024136610007,0.013878241283357705,-31.222487732640559,150.7778160945108
14.070221504932837,0.01528728968723923,-30.675001263301887,150.09578097982347
14.445150276608228,0.014315630602675485,-30.256361165617825,150.00736475353636
14.830069764050297,0.013823583723814068,-29.804028369719514,148.1932396216057
15.225246189563313,0.015390723764116834,-29.323980660822549,147.60311398362131
15.63095286946932,0.013951078621452544,-28.995305410776837,147.00340741588232
16.047470403142221,0.01238293564411129,-28.531903619100255,146.44233616320065
16.47508686707905,0.012823779685452598,-28.114089786160385,145.676958863002
16.914098014142635,0.01167429433414513,-27.692659757702984,145.1100048089487
17.364807478113505,0.014650294432823958,-27.267271689763206,144.61552733209049
17.827526983692483,0.014228347739267415,-26.908685319493163,143.62112291598987
18.302576562099073,0.010463904728664026,-26.473582228211541,143.08883193801248
18.79028477241522,0.015173317473352875,-26.110522905454125,142.15923325624408
19.290988928826874,0.013596269562699182,-25.715120772656746,141.16171316230592
19.805035333920983,0.016555155605852825,-25.312637239285177,140.74640803719419
20.332779518199168,0.012815462580002754,-24.923660718185356,139.70725794006208
20.874586485973829,0.013749657630631927,-24.541714748373174,138.81173898255344
21.430830967816092,0.01105877420991749,-24.140512998393291,137.88570093839857
22.001897679731698,0.009600420375080047,-23.791913036415625,137.29316331433995
22.588181589242108,0.016517736473190655,-23.46375793031909,136.1811361790142
23.190088188556604,0.012961259443549332,-23.052163614908427,135.39662908430614
23.808033775023123,0.012369009623989909,-22.697520925166643,134.35529291500939
24.442445739052694,0.014527894243802124,-22.304144693290763,133.71637786045031
25.093762859715834,0.013811422777983959,-21.934587244593775,132.77630073456896
25.762435608215799,0.011486979140771169,-21.556675450932993,131.8597248544261
26.448926459448547,0.011346318227657312,-21.191664505981684,131.01445623054622
27.153710211864755,0.012226854203198238,-20.850471426558734,130.29379886293694
27.877274315855214,0.017007115375779022,-20.514160956483853,129.27279074517568
28.620119210886688,0.013926014965645175,-20.143191268883299,128.10240794068176
29.382758671621477,0.01628439719181983,-19.782458404758771,127.24188299452787
30.16572016325992,0.013058706628064829,-19.45170697460761,126.1461651058487
30.969545206351771,0.011493722243263395,-19.098456161892091,125.167085354308
31.794789751328704,0.0146579004180055,-18.748620232287337,124.18318305169927
32.642024563016896,0.019174231080230968,-18.437736910280023,123.27217590578087
33.511835615395867,0.013708543338536994,-18.103816860062704,122.26155591273216
34.404824496876017,0.014122967369018576,-17.783683723448533,121.29606042697239
35.321608826376355,0.015084791881719633,-17.459451797972896,120.18193916431463
36.262822680488675,0.014608608950119471,-17.140143634253789,119.21000093421304
37.22911703202476,0.016134550734291181,-16.815285745209898,118.19700179446301
38.221160200249429,0.013604104409296696,-16.517142397954188,117.00471290704917
39.239638313110966,0.016037952744041673,-16.205593945458805,116.06522217503471
40.285255781788585,0.013876088128301087,-15.901724785765168,115.11238332478638
41.358735787885117,0.016505245492849829,-15.594909648569562,114.06639544800933
42.460820783601953,0.020217637369187934,-15.311553481801731,112.98467027634229
43.59227300524207,0.017248471812815993,-15.003268374712162,112.23846319793407
44.753875000396413,0.016887298523221957,-14.776774319173541,110.79564577680779
45.946430169178221,0.022792796448753538,-14.429708983993986,110.17079318757705
47.170763319879484,0.015787639969111311,-14.200921304946823,108.58360939998713
48.427721239434199,0.025157136981331717,-13.909182341671059,108.07688731551953
49.718173279082173,0.0096196849080612077,-13.60268119366398,106.17013952588991
